Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total.People,Serious.Fatal.Injuries,Serious.Fatal.Rate,Aircraft.Destroyed,Serious.Fatal,Injury.Rate,Destroyed
20001212X16418,Accident,CHI91FA088A,1991-02-03,"OSCEOLA, WI",United States,OEO,L.O.SIMENSTAD MUNI,Fatal(7),Destroyed,Airplane,N4676R,Piper,PA-28-140,No,1.0,Reciprocating,,Instructional,,7.0,0.0,,0.0,VMC,Approach,Probable Cause,17-10-2016,7.0,,,True,7.0,1.0,True
20001212X16415,Accident,CHI91DCJ01,1991-02-24,"WESTERN, NE",United States,,,Fatal(1),Destroyed,Airplane,N738LL,Cessna,172N,No,1.0,Reciprocating,,Personal,,1.0,0.0,,0.0,IMC,Maneuvering,Probable Cause,17-08-2012,1.0,,,True,1.0,1.0,True
20001212X17597,Accident,LAX91LA306,1991-07-11,"WAILUA, HI",United States,,,Fatal(1),Substantial,Airplane,N9022T,Cessna,182,No,1.0,Reciprocating,,Skydiving,,1.0,0.0,,4.0,VMC,Cruise,Probable Cause,17-10-2016,5.0,,,False,1.0,0.2,False
20001212X17738,Accident,ANC91LA117,1991-08-07,"SEWARD, AK",United States,,,Non-Fatal,Substantial,Airplane,N8684V,Bellanca,7GCBC,No,1.0,Reciprocating,,Personal,,0.0,0.0,1.0,1.0,VMC,Maneuvering,Probable Cause,19-03-2009,1.0,0.0,0.0,False,0.0,0.0,False
20001212X17742,Accident,ANC91LA121,1991-08-09,"ANCHORAGE, AK",United States,LHD,LAKE HOOD SEAPLANE,Non-Fatal,Substantial,Airplane,N2370H,Piper,PA-18,No,1.0,Reciprocating,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,19-03-2009,1.0,0.0,0.0,False,0.0,0.0,False
20001212X18014,Accident,ANC91LA155,1991-09-19,"EAGLE, AK",United States,EAA,EAGLE,Non-Fatal,Substantial,Airplane,N4894A,Piper,PA-18-150,No,1.0,Reciprocating,NSCH,Unknown,Tatonduk Outfitters Ltd,0.0,0.0,,1.0,VMC,Takeoff,Probable Cause,09-12-2011,1.0,,,False,0.0,0.0,False
20001212X18289,Accident,FTW92FA014,1991-10-27,"MARBLE FALLS, TX",United States,,,Fatal(2),Destroyed,Airplane,N7246H,Beech,A36,No,1.0,Reciprocating,,Personal,,2.0,0.0,,0.0,VMC,Maneuvering,Probable Cause,25-01-2011,2.0,,,True,2.0,1.0,True
20001212X18454,Accident,FTW92LA028,1991-11-29,"LAS CRUCES, NM",United States,LRU,LAS CRUCES,Non-Fatal,Substantial,Airplane,N1906N,Cessna,120,No,1.0,Reciprocating,,Personal,,0.0,0.0,,1.0,VMC,Landing,Probable Cause,19-12-2013,1.0,,,False,0.0,0.0,False
20001211X16223,Accident,NYC93LA041,1992-12-13,"LONDONDERRY, NH",United States,,,Non-Fatal,Substantial,Airplane,N210PQ,Cessna,T210,No,1.0,Reciprocating,,Personal,,0.0,0.0,1.0,0.0,VMC,Approach,Probable Cause,02-05-2011,0.0,,,False,0.0,0.0,False
20001211X12054,Accident,ANC93FA054,1993-04-23,"KASHWITNA, AK",United States,,,Fatal(2),Destroyed,Airplane,N3741Z,Piper,PA-18-150,No,1.0,Reciprocating,,Business,,2.0,0.0,,0.0,VMC,Maneuvering,Probable Cause,17-08-2012,2.0,,,True,2.0,1.0,True
20001211X13214,Accident,NYC93FA154,1993-08-14,"EAST MORICHES, NY",United States,1N2,SPADARO,Fatal(1),Destroyed,Airplane,N5010D,Cessna,182A,No,1.0,Reciprocating,,Skydiving,,1.0,4.0,,0.0,VMC,Takeoff,Probable Cause,17-10-2016,5.0,5.0,,True,5.0,1.0,True
20001211X13354,Accident,BFO93LA184,1993-09-25,"EMPORIA, VA",United States,,,Non-Fatal,Substantial,Airplane,N9841L,Cessna,172,No,1.0,Reciprocating,,Aerial Observation,,0.0,0.0,,2.0,VMC,Takeoff,Probable Cause,28-12-2010,2.0,,,False,0.0,0.0,False
